or_code;or_siren;or_nom;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR033000001004;;Conseil régional de La Réunion;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001006;;Conseil régional de Mayotte;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001011;;Conseil régional de Île-de-France;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001024;;Conseil régional de Centre-Val de Loire;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001028;;Conseil régional de Normandie;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001032;;Conseil régional de Hauts-de-France;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001044;;Conseil régional de Grand-Est;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033001000015;789712882;2si telecom;Operateur;;2SIT;78971288200016;;;4 PLACE DE LAON  02200 SOISSONS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000000026;;Conseil Général Drôme;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033001000016;449509082;3 C NET;Operateur;;3CNE;44950908200037;;;30 AVENUE EDOUARD BELIN  92566 RUEIL MALMAISON  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000017;792287286;31 TELECOM;Operateur;;31TE;79228728600019;;;5 RUE DE CASTIGLIONE  75001 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000018;449346089;3620 Le numéro des marques;Operateur;;3620;44934608900013;;;25 AVENUE DE LA VERTONNE  44120 VERTOU;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000019;484183710;3Roam;Operateur;;3ROA;48418371000033;;;BUROPOLIS 2 1240 ROUTE DES DOLINES  06560 VALBONNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000020;441494655;3TIC;Operateur;;3TIC;44149465500034;;;25 AVENUE DE LA REPUBLIQUE  23000 GUERET;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000021;790139398;440HZ;Operateur;;440H;79013939800016;;;21 RUE JEAN MERMOZ  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000022;440256311;6 COM;Operateur;;6COM;44025631100042;;;78/80 RUE DU DOCTEUR BAUER  93400 SAINT OUEN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000023;799137013;7 7 24 24;Operateur;;7724;79913701300014;;;9 RUE DE BESANCON  25300 DOUBS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000024;752549139;7 TELECOM;Operateur;;7TEL;75254913900018;;;7 RUE DU LYS  24000 PERIGUEUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000025; ;A.I.L.network du pays d Autan;Operateur;;AILN; ;;;7 RUE MEYER  81200 MAZAMET;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000026;419523709;A.J. Phone;Operateur;;AJPH;41952370900048;;;Z.A. LES PORTES DE L OUEST 9 RUE PIERRE GASSENDI  76150 LA VAUPALIERE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000027;510598337;A2C NET PRO;Operateur;;A2CN;51059833700010;;;3 RUE DE LA LIBERTE  87120 EYMOUTIERS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000028;531736643;A2K informatique;Operateur;;A2KI;53173664300028;;;3 RUE HENRY POTEZ  28100 DREUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000029;514580398;A5 Numérique;Operateur;;A5NU;51458039800030;;;187 BOULEVARD ANATOLE FRANCE  93200 SAINT-DENIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000030;502990245;A6telecom France;Operateur;;A6TE;50299024500024;;;58 RUE ST FERREOL  13001 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000031;509439337;A75 NETWORKS;Operateur;;A75N;50943933700015;;;30 AVENUE EDOUARD BELIN  92566 RUEIL-MALMAISON  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000032;400800694;Aabas interactive;Operateur;;AABA;40080069400038;;;26 RUE VIGNON  75009 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000033;409052651;AAMT;Operateur;;AAMT;40905265100042;;;21 RUE ANTOINE MAILLE BP 40071 13352 MARSEILLE  CEDEX 05;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000034;408221208;AB plus;Operateur;;ABPL;40822120800023;;;183 AVENUE ACHILLE PERETTI  92200 NEUILLY SUR SEINE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000000083;;Conseil Général Var;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000974;;Conseil Général La Réunion;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000013;;Conseil Général Bouches-du-Rhône;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000976;;Conseil Général Mayotte;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001052;;Conseil régional de Pays-de-la-Loire;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001075;;Conseil régional de Nouvelle-Aquitaine;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001076;;Conseil régional de Occitanie;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001084;;Conseil régional de Auvergne-Rhône-Alpes;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001093;;Conseil régional de Provence-Alpes-Côte d Azur;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001094;;Conseil régional de Corse;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000048;;Conseil Général Lozère;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000081;;Conseil Général Tarn;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000024;;Conseil Général Dordogne;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033001000035;420115289;ABALONE;Operateur;;ABAL;42011528900035;;;BAT 3 PARC D ACTIVITE G DE LOUP 24 AVENUE JOANNES MASSET  69009 LYON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000036;425055043;ABC com;Operateur;;ABCM;42505504300052;;;22/24 ROUTE DE LYON  71100 SAINT-REMY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000037;487829525;ABDEL HALIM OUARTI;Operateur;;AHOU;48782952500020;;;38 RUE DES ALISIERS  21121 DAIX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000038;418048302;ABEILLE;Operateur;;ABEI;41804830200040;;;5 AVENUE MARECHAL LECLERC  63800 COURNON D AUVERGNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000039;393421086;ABERIA TELECOMMUNICATIONS;Operateur;;ABER;39342108600041;;;PAE MERCORENT 229 RUE ALPHONSE BEAU DE ROCHAS  34500 BEZIERS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000040;381589886;Abicom;Operateur;;ABIC;38158988600039;;;10 ALLEE PIERRE DE FERMAT  63170 AUBIERE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000041;494586399;Ablogix;Operateur;;ABGX;49458639900011;;;BELLA VISTA  72110 SAINT-CELERIN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000042;507515195;About network;Operateur;;ABOU;50751519500034;;;25 ALLEE DE LA ROUVRAIE  78480 VERNEUIL-SUR-SEINE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000043;393935069;ABS CONCEPT;Operateur;;R003;39393506900012;;;37 RUE DES MATHURINS  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000044;450640156;ABSIVAL;Operateur;;ABSI;45064015600029;;;38 RUE DUNOIS  75013 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000045;418565404;ABSOLIGHT;Operateur;;ABSO;41856540400039;;;99 R DU FAUBOURG SAINT MARTIN  75010 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000046;398805739;ABTEL SARL;Operateur;;ABTE;39880573900016;;;KM 4 ROUTE D ARLES  30230 BOUILLARGUES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000047;497578849;AC Conseil;Operateur;;ACIL;49757884900018;;;1 RUE JEAN MOREAS  75017 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000048;753480029;ACCESS HEBERGEMENT;Operateur;;ACCH;75348002900010;;;PAE LES GLAISINS 3 RUE DU BULLOZ  74940 ANNECY-LE-VIEUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000049;819634478;Accompagnement réseau service informatique telecom ;Operateur;;ACRS;81963447800013;;;RDC DROIT 38 AVENUE AUBERT  94300 VINCENNES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000050;829627769;Acesi net;Operateur;;ACES;82962776900013;;;AEROPARC 1 8B RUE ICARE  67960 ENTZHEIM;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000051;509233961;ACETELECOM;Operateur;;ACE;50923396100010;;;ZAC DES CETTONS RUE PANHARD LEVASSOR  78570 CHANTELOUP LES VIGNES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000052;479828238;Acipia;Operateur;;ACIP;47982823800036;;;50 GRANDE RUE  59100 ROUBAIX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000053;451364889;ACN COMMUNICATIONS FRANCE;Operateur;;ACNC;45136488900019;;;PARIS LA DEFENSE - TOUR EGEE 9/11 ALLEE DE L ARCHE  92671 COURBEVOIE  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000054;751983222;Acor telecoms Ouest;Operateur;;ACTO;75198322200025;;;IMMEUBLE ASTURIA C 4 RUE EDITH PIAF  44800 SAINT-HERBLAIN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000055;500355201;ACTEA TELECOM;Operateur;;ACTE;50035520100012;;;PARC D ACTIVITE DE NAPOLLON 230 AVENUE DE PASSE TEMPS  13400 AUBAGNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000056;421632274;ACTI PHONE SERVICE;Operateur;;APSE;42163227400039;;;43 RUE MARYSE BASTIE  69008 LYON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000057;514185198;Actif telecom;Operateur;;AIFT;51418519800017;;;29 RUE DE LA PAIX  33150 CENON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000058;479557894;ACTIMAGE CONSULTING SAS;Operateur;;ACCO;47955789400017;;;CASE 1 15 RUE DU LOUVRE  75001 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000059;492510136;ACTISTREAM;Operateur;;ACTR;49251013600012;;;192 RUE DE L ERMITAGE  37100 TOURS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000060;488401373;Activatel;Operateur;;ACVA;48840137300011;;;149 AVENUE DU MAINE  75014 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000061;504472481;Active business developpement ;Operateur;;ACBD;50447248100028;;;C/O SELFBURO 92 BOULEVARD PRESIDENT WILSON  06160 ANTIBES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000062;418335725;ACTIVE PLUS SOFTWARE;Operateur;;ACSO;41833572500036;;;5 AVENUE ROGER ROQUEFORT  66320 MARQUIXANES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000063;339013591;Activium information design;Operateur;;AIDC;33901359100062;;;32 RUE FERNAND PELLOUTIER  92110 CLICHY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000064;444413660;Activ-Line SAS;Operateur;;ACLI;44441366000036;;;2 SQUARE AUGUSTE CHABRIERES  75015 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000065;512216813;Actum;Operateur;;ATUM;51221681300026;;;84 RUE JEAN JAURES  44400 REZE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000066;441889060;ADAEL;Operateur;;R005;44188906000055;;;9 RUE D ANJOU  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000067;790946354;Adaxia;Operateur;;ADAX;79094635400012;;;300 RUE JEAN DE GUIRAMAND  13290 LES MILLES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000068;424218964;Add-on consulting;Operateur;;ADON;42421896400049;;;16 RUE AMPERE  95300 PONTOISE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000069;394180376;ADD-ON MULTIMEDIA;Operateur;;ADDO;39418037600045;;;14 B PLACE DU MAUPAS  45130 MEUNG SUR LOIRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000070;414358473;Adealis;Operateur;;ADEA;41435847300034;;;46 RUE DE PROVENCE  75009 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000071;433903283;Adeli;Operateur;;R006;43390328300029;;;ZA CHANSTRIVAL ROUTE DE SANDRANS  01990 SAINT TRIVIER SUR MOIGNANS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000000031;;Conseil Général Haute-Garonne;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000042;;Conseil Général Loire;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000972;;Conseil Général Martinique;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033001000072;422266072;Adenis;Operateur;;ADIS;42226607200038;;;163 AVENUE GALLIENI  93170 BAGNOLET;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000073;813797982;Adequatic;Operateur;;ADEQ;81379798200010;;;5 D RUE DU BRAS LONG  97414 ENTRE-DEUX LA REUNION;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000074;479406118;ADI INFORMATIQUE;Operateur;;ADII;47940611800014;;;10 AVENUE DU GENERAL LECLERC  91760 ITTEVILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000075;498870237;ADIPSYS;Operateur;;ADIP;49887023700019;;;CICA 2229 ROUTE DES CRÊTES  06560 VALBONNE SOPHIA ANTIPOLIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000076;323159715;Adista;Operateur;;RMII;32315971500305;;;ZAC SAINT-JACQUES 9 RUE BLAISE PASCAL  54320 MAXEVILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000000971;;Conseil Général Guadeloupe;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033001000077;445336894;ADLER TECHNOLOGIES;Operateur;;ADLE;44533689400016;;;126 RUE DE BRIE  94000 CRETEIL;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000078;810026252;Adls nexcom;Operateur;;ADNE;81002625200017;;;134 AVENUE DE VERSAILLES  75016 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000079;404857450;ADMI Agence de maintenance informatique;Operateur;;ADMI;40485745000021;;;AVENUE DU CAMP DOLENT  76700 GONFREVILLE-L ORCHER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000080;480626753;ADMINISTRATION ET GESTION DES SYSTEMES D INFORMATION;Operateur;;AGSI;48062675300028;;;TECHNOPOLE BREST IROISE 65 PLACE COPERNIC  29280 PLOUZANE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000081;076520568;ADS;Operateur;;ADSS;07652056801336;;;CHALET DES VILLARDS LES ARCS 1800  73700 BOURG-SAINT-MAURICE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000082;507387892;ADTIM;Operateur;;ADTI;50738789200023;;;ALIXAN 5 AVENUE DE LA GARE BP 10385 26958 VALENCE  CEDEX 9;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000083;824577860;Adtim FTTH;Operateur;;ADTH;82457786000011;;;42 AVENUE DES LANGORIES  26000 VALENCE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000000120;;Conseil Général Corse-du-Sud;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000121;;Conseil Général Haute-Corse;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000074;;Conseil Général Haute-Savoie;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000021;;Conseil Général Côte-d Or;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033001000084;792547168;ADVANCED CARIBBEAN TECHNOLOGIES;Operateur;;ADCT;79254716800015;;;4 BIS RUE EMILE BATAILLE  77410 MESSY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000000088;;Conseil Général Vosges;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000090;;Conseil Général Territoire-de-Belfort;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000089;;Conseil Général Yonne;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000058;;Conseil Général Nièvre;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000041;;Conseil Général Loir-et-Cher;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000093;;Conseil Général Seine-Saint-Denis;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000037;;Conseil Général Indre-et-Loire;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000091;;Conseil Général Essonne;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000028;;Conseil Général Eure-et-Loir;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000018;;Conseil Général Cher;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000049;;Conseil Général Maine-et-Loire;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000044;;Conseil Général Loire-Atlantique;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033001000085;447616657;ADVANCED DATA WIRELESS NETWORK;Operateur;;ADWN;44761665700030;;;5 RUE JEAN-BAPTISTE DURAND  69100 VILLEURBANNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000086;399273572;ADVANCED INTEGRATED NETWORK SYSTEMS;Operateur;;AINS;39927357200046;;;PARC CLUB D ARIANE 2 RUE HELENE BOUCHER  78280 GUYANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000087;752760868;Advanced system solutions;Operateur;;A2ST;75276086800022;;;78 AVENUE RAYMOND POINCARE  75116 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000088;488448812;ADVENCEO;Operateur;;ADVE;48844881200013;;;1 RUE LEONARD BUNISSET  19510 MASSERET;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000089;501241624;Aege réseaux et telecoms;Operateur;;AETE;50124162400011;;;17 RUE DUPIN  75006 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000090;753399104;Aera telecom;Operateur;;AERA;75339910400011;;;320 RUE SAINT HONORE  75001 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000091;813847910;Aerlink;Operateur;;AERL;81384791000011;;;2 CHEMIN DU PETIT QUARTIER  44320 FROSSAY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000092;482831732;Aetia informatique;Operateur;;AETI;48283173200052;;;BATIMENT CELTIC SUBMARINE 3 RUE DU SOUS-MARIN VENUS  56100 LORIENT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000093;793579947;AF telecoms;Operateur;;AFTE;79357994700011;;;IMMEUBLE J. MONNET 8 PLACE DE L EUROPE  14200 HEROUVILLE-SAINT-CLAIR;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000094;411068737;Afone;Operateur;;AFON;41106873700153;;;11 PLACE FRANCOIS MITTERRAND CS 11024 49055 ANGERS  CEDEX 02;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000095;799201876;Afone Infrastructure;Operateur;;AFIN;79920187600015;;;11 PLACE FRANCOIS MITTERAND  49100 ANGERS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000096;493662001;AG3I;Operateur;;AG3I;49366200100012;;;876 CHEMIN DE REYDET  84250 LE THOR;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000097;433082476;AGARIK SA;Operateur;;AGAR;43308247600048;;;20 RUE DIEUMEGARD  93400 SAINT-OUEN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000098;794078436;Agence 73;Operateur;;AGEN;79407843600019;;;150 RUE GALLIENI  92100 BOULOGNE BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000099;529332686;Agence d investissement et de développement logiciel;Operateur;;AIDL;52933268600011;;;947 ROUTE DE POUILLY  42370 RENAISON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000100;519322085;Agence premium;Operateur;;MPIC;51932208500019;;;61 RUE VITRUVE  75020 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000000032;;Conseil Général Gers;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000047;;Conseil Général Lot-et-Garonne;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000082;;Conseil Général Tarn-et-Garonne;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000046;;Conseil Général Lot;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033001000101;794907691;Agence Unicom;Operateur;;AGUN;79490769100016;;;135 IMPASSE DU CHASSELAS  83210 LA FARLEDE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000000019;;Conseil Général Corrèze;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000087;;Conseil Général Haute-Vienne;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000052;;Conseil Général Haute-Marne;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000010;;Conseil Général Aube;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000068;;Conseil Général Haut-Rhin;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000054;;Conseil Général Meurthe-et-Moselle;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000057;;Conseil Général Moselle;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
